#queryName	queryLength	firstQueryPos	lastQueryPos	hitName	hitLength	firstHitPos	lastHitPos	frame	hitDescription	numberOfHits	coverage	identity	evalue	score	hspLength	relIdentity
2738_g	2470	337	1479	Q8I1U6	1485	45	373	+1	Putative uncharacterized protein	7	0.26	132	9e-40	171	388	0.35
2739_g	384	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
2740_g	225	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
2741_g	822	1	378	B3L1G0	150	11	146	+1	Centrin, putative	30	0.91	73	2e-33	147	136	0.54
2742_g	3468	7	3465	Q8I5S4	1088	23	1088	+1	Bromodomain protein, putative	30	0.42	210	4e-93	348	457	0.46
2743_g	1269	193	1044	I2FKC9	313	32	310	+1	Iron-sulfur subunit of succinate dehydrogenase 	30	0.91	226	1e-134	485	284	0.80
2744_g	1311	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
2745_g	1284	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
2746_g	525	46	483	I1MPW9	1025	322	463	+1	Uncharacterized protein	12	0.14	49	3e-09	66	146	0.34
2747_g	1221	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
2748_g	11763	7108	11763	Q8IFP4	4261	1973	3520	+1	Erythrocyte membrane-associated antigen, 	30	0.05	152	8e-76	293	216	0.71
2749_g	4971	88	4962	A5K442	1626	12	1625	+1	Putative uncharacterized protein	30	1.01	1057	0	2044	1648	0.65
2750_g	2619	823	1956	Q54SF4	935	1	404	+1	Putative uncharacterized protein DDB_G0282499 	30	0.44	97	6e-15	89	414	0.24
2751_g	1050	115	1049	Q8I3V7	488	70	472	+1	Rhomboid protease ROM9	30	0.77	162	6e-53	210	376	0.44
2752_g	5553	847	5550	Q8I3V5	2133	282	2133	+1	Phosphatidylinositol 3-kinase, putative 	30	0.15	206	5e-108	399	319	0.65
2753_g	471	4	279	Q8I5R9	93	1	92	+1	Dynein light chain 1, putative	30	0.99	83	5e-43	178	92	0.91
2754_g	2220	25	2217	B3LCD4	715	7	715	+1	Proline--tRNA ligase	30	1.02	512	0	1084	731	0.71
2755_g	2637	1	2634	B3LCD5	1652	1	1625	+1	Putative uncharacterized protein	30	0.14	137	2e-75	289	236	0.59
2756_g	1464	1147	1463	A5K3D7	2124	1634	1750	+1	Putative uncharacterized protein	30	0.04	63	4e-31	140	92	0.69
2757_g	9069	7501	9066	Q8IKH4	3078	1387	2034	+1	Putative uncharacterized protein	10	0.14	107	8e-20	107	444	0.25
2758_g	237	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
2759_g	1500	1	1482	B3L878	501	1	494	+1	Glycerol kinase, putative	30	0.99	349	0	712	494	0.71
2760_g	663	43	540	Q4YSV0	198	21	186	+1	Ribosomal protein L17, putative	30	0.86	98	2e-50	204	170	0.58
2761_g	246	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
2762_g	447	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
2763_g	5844	130	5835	Q8I548	1681	49	1677	+1	Conserved Plasmodium protein	30	0.39	182	6e-53	216	656	0.28
2764_g	1566	415	1527	Q8I547	490	124	478	+1	Conserved Plasmodium protein	30	0.76	163	2e-79	301	371	0.44
2765_g	435	7	432	Q8I546	210	70	210	+1	Conserved Plasmodium membrane protein 	6	0.68	82	5e-33	145	142	0.58
2766_g	351	28	309	E7DW37	588	108	222	+1	Pol protein (Fragment)	30	0.20	50	8e-17	91	115	0.44
2767_g	1656	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
2768_g	666	193	663	F0VLZ4	189	9	165	+1	Putative uncharacterized protein	30	0.83	62	7e-28	129	157	0.40
2769_g	3018	172	2997	Q8IJM1	1136	26	1133	+1	Conserved Plasmodium protein	7	1.01	365	1e-143	516	1150	0.32
2770_g	1413	7	1407	Q4Z3C8	467	2	466	+1	26s proteasome subunit p55, putative	30	1.00	293	1e-168	598	467	0.63
2771_g	4131	1	4125	Q8ILG6	1370	1	1369	+1	Coatamer protein, beta subunit, putative 	30	0.37	352	0	689	509	0.70
2772_g	204	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
2773_g	3786	1	2733	B3LA92	1252	1	938	+1	ATP-dependent DNA helicase, putative	30	0.77	548	0	976	960	0.58
2774_g	1068	1	1062	Q8ILG4	329	1	328	+1	Putative uncharacterized protein	14	1.20	141	6e-51	206	394	0.36
2775_g	2589	1	2529	Q4XVK9	776	11	776	+1	Putative uncharacterized protein	10	1.16	270	3e-90	339	900	0.30
2776_g	579	7	426	Q4Z5B9	153	7	150	+1	Translation initiation factor eIF-1A, 	30	0.94	121	4e-64	248	144	0.85
2777_g	279	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
2778_g	993	1	984	B3L5N8	333	1	330	+1	DNA-diDNA-directed RNA polymerase I, putative 	30	0.99	211	4e-119	433	330	0.64
2779_g	627	58	624	Q8IHT4	321	133	321	+1	DNAJ protein, putative	30	0.59	93	4e-48	196	189	0.50
2780_g	315	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
2781_g	1176	49	1059	Q8IBZ2	368	23	359	+1	Lysophospholipase, putative	30	0.92	188	3e-114	417	338	0.56
2782_g	1185	1	1179	A5KAA3	961	637	960	+1	Putative uncharacterized protein	30	0.11	100	8e-53	213	106	0.95
2783_g	5985	2245	5982	B3KZ45	2291	629	1964	+1	Putative uncharacterized protein	30	0.14	191	2e-88	334	312	0.62
2784_g	4230	244	2739	Q8IJF2	922	85	919	+1	Conserved Plasmodium protein	16	0.54	259	1e-124	454	495	0.53
2785_g	2346	484	2343	Q8IJF3	829	210	829	+1	Glucosamine-fructose-6-phosphate aminotransferase, 	30	0.75	454	0	909	620	0.74
2786_g	150	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
2787_g	246	1	165	Q7RGA3	86	1	55	+1	Putative APC11 anaphase-promoting complex 	30	0.64	40	1e-17	94	55	0.73
2788_g	8001	1	6888	B3L7G3	2872	1	2404	+1	SNF2 family protein, putative	30	0.33	705	0	1327	951	0.75
2789_g	2580	739	1002	A5K7L4	1108	293	380	+1	Putative uncharacterized protein	6	0.08	39	1e-16	94	88	0.45
2790_g	843	16	828	Q4Z5X9	283	6	279	+1	Protein kinase, putative	30	0.97	125	3e-66	256	274	0.46
2791_g	2835	22	2832	O97289	1074	8	1074	+1	Peptidase, putative	30	1.00	455	0	746	1073	0.43
2792_g	1227	445	1191	A5K7R8	283	38	270	+1	Putative uncharacterized protein	4	0.88	73	1e-22	112	250	0.30
2793_g	1533	754	1530	O77394	307	70	307	+1	Putative uncharacterized protein	12	0.86	118	7e-47	194	263	0.45
2794_g	807	247	801	Q7RJ08	302	117	301	+1	Putative uncharacterized protein PY03458 	14	0.61	162	7e-77	292	185	0.88
2795_g	3178	1538	3172	B3L7L8	1415	707	1369	+2	Putative uncharacterized protein	8	0.20	136	5e-67	262	290	0.47
2796_g	7191	916	7185	A2EN31	5296	91	4984	+1	Viral A-type inclusion protein, putative 	30	0.35	354	1e-37	166	1869	0.19
2797_g	1887	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
2798_g	258	28	255	A5K2D3	133	24	99	+1	Putative uncharacterized protein	12	0.57	58	1e-26	124	76	0.77
2799_g	8075	3	8072	C6KTD8	2907	88	2907	+3	DNA polymerase epsilon, catalytic subunit 	30	1.00	1877	0	3504	2910	0.65
2800_g	192	1	171	C6KTD8	2907	1	57	+1	DNA polymerase epsilon, catalytic subunit 	6	0.02	40	3e-17	92	57	0.71
2801_g	3717	118	3714	Q8ILZ2	4405	3612	4405	+1	Putative uncharacterized protein	8	0.15	195	6e-65	255	674	0.29
2802_g	2253	4	2247	Q7RRU3	756	4	754	+1	CTP synthase	30	1.01	475	0	822	761	0.63
2803_g	507	43	456	Q8ILZ4	349	50	190	+1	Alpha/beta hydrolase, putative	6	0.43	73	9e-29	130	149	0.49
2804_g	4143	25	3894	Q8IAN5	1467	5	1289	+1	AAA family ATPase, putative	30	0.41	271	7e-123	448	599	0.46
2805_g	3333	1	2712	B3KZB3	1052	1	855	+1	DNA repair protein rad54, putative	30	0.86	606	0	1133	905	0.67
2806_g	594	1	585	Q8IAN3	365	180	364	+1	Mitogen-activated protein kinase organizer 	7	0.53	129	1e-72	277	195	0.67
2807_g	314	3	311	B3L7U3	279	177	279	+3	Putative uncharacterized protein	15	0.37	84	2e-46	189	103	0.82
2808_g	3522	1	2238	Q7RJY6	803	1	685	+1	Putative uncharacterized protein PY03119 	21	0.65	218	7e-81	308	520	0.42
2809_g	2841	37	1812	C6S3H8	876	6	600	+1	RNA helicase, putative	30	0.69	404	0	798	607	0.67
2810_g	444	292	404	Q8I2U3	163	14	81	-2	Ubiquitin conjugating enzyme, putative 	6	0.20	28	4e-10	65	32	0.88
2811_g	2013	571	2010	Q7RIL7	464	53	464	+1	Putative uncharacterized protein PY03602 	30	1.04	188	1e-86	327	482	0.40
2812_g	1698	1	1497	B3L2M5	510	1	499	+1	Inosine-5'-monophosphate dehydrogenase 	30	0.98	363	0	758	499	0.73
2813_g	1377	1	1365	Q4XZN6	495	1	371	+1	Putative uncharacterized protein	7	0.92	191	6e-82	310	457	0.42
2814_g	1116	1	927	A5K6B1	443	1	309	+1	TBC domain containing protein	30	0.70	217	3e-103	380	309	0.71
2815_g	339	28	333	B3L349	131	30	131	+1	Ribosomal protein l32, putative	30	0.78	70	4e-35	152	102	0.69
2816_g	4221	13	4203	A5K6A9	1409	68	1408	+1	Putative uncharacterized protein	12	1.03	622	0	1110	1451	0.43
2817_g	138	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
2818_g	2570	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
2819_g	3396	2203	2739	F2DYS2	495	227	475	+1	Predicted protein	30	0.36	50	6e-12	79	177	0.29
2820_g	1233	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
2821_g	579	142	576	Q4XPM8	194	1	194	+1	Putative uncharacterized protein (Fragment) 	3	1.01	67	2e-20	103	195	0.35
2822_g	2296	434	2278	Q7RLU7	3189	2355	3029	+2	Zinc finger, C2H2 type, putative	5	0.22	211	4e-60	238	712	0.30
2823_g	6609	136	6006	C0H487	3825	51	1966	+1	Putative uncharacterized protein	6	0.31	325	3e-105	390	1175	0.28
2824_g	4017	1	3411	Q4Y7N7	1152	1	1125	+1	Putative uncharacterized protein	30	0.51	346	3e-171	608	591	0.59
2825_g	315	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
2826_g	447	1	429	Q8IKZ3	1206	1054	1196	+1	Putative uncharacterized protein	4	0.12	53	8e-25	117	143	0.38
2827_g	2910	1	2904	Q8IKZ3	1206	1	1048	+1	Putative uncharacterized protein	12	0.91	412	0	715	1092	0.38
2828_g	30	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
2829_g	66	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
2830_g	1032	1	1029	Q8IDL4	347	1	347	+1	TBC domain protein, putative	30	1.00	293	2e-168	597	347	0.85
2831_g	216	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
2832_g	1227	67	1224	Q8IDL3	371	44	371	+1	Putative uncharacterized protein	5	0.57	71	6e-25	120	213	0.34
2833_g	243	1	231	O15865	513	436	512	+1	Calcium-dependent protein kinase 2	30	0.15	52	4e-25	119	77	0.68
2834_g	1386	196	1320	O15865	513	55	429	+1	Calcium-dependent protein kinase 2	19	0.73	285	1e-169	601	375	0.76
3001_g	1980	118	1971	B3L2I9	614	48	614	+1	N-glycosylase/dna lyase, putative	30	1.04	246	4e-100	371	640	0.39
3002_g	537	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
3003_g	351	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
3004_g	2097	1546	2088	B3L8A2	203	21	201	+1	Nucleoside diphospahte hydrolase, putative 	30	0.89	78	3e-35	155	181	0.44
3005_g	2670	514	2628	B3L8A1	802	43	780	+1	Glutamate--tRNA ligase, putative	30	0.74	353	0	717	592	0.60
3006_g	2571	1	2448	Q7RI21	695	1	676	+1	Putative uncharacterized protein PY03810 	15	0.96	269	1e-124	453	666	0.41
3007_g	5127	466	2667	Q4XQ68	948	32	818	+1	Putative uncharacterized protein (Fragment) 	30	0.86	343	2e-157	563	816	0.43
3008_g	192	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
3009_g	4998	1	4986	Q8I451	2754	1	1689	+1	Putative uncharacterized protein	18	0.54	636	0	1030	1491	0.43
3010_g	2322	1	1236	Q7RMI6	1540	976	1467	+1	Putative uncharacterized protein PY02194 	7	0.19	110	1e-35	157	300	0.37
3011_g	1506	1	1506	Q7RR61	538	1	359	+1	Actin-like 6	30	0.43	118	5e-60	237	229	0.52
3012_g	2955	1	2913	Q8I4W9	888	75	887	+1	Conserved Plasmodium protein	8	0.50	132	5e-40	172	445	0.30
3013_g	612	1	609	A5K8W6	209	5	209	+1	Myosin A tail domain interacting protein 	30	0.99	122	6e-70	268	206	0.60
3014_g	1542	130	1533	Q4YRL1	474	1	472	+1	Putative uncharacterized protein (Fragment) 	30	1.02	298	2e-167	594	483	0.62
3015_g	135	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
3016_g	1806	172	1800	Q8IJY1	635	171	634	+1	Conserved Plasmodium protein	15	0.39	198	3e-124	451	248	0.80
3017_g	330	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
3018_g	1227	526	1224	Q8IJY0	426	190	425	+1	Conserved Plasmodium protein	15	0.55	105	2e-49	202	236	0.45
3019_g	135	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
3020_g	4759	1804	4758	Q8II83	1789	494	1505	+1	Conserved Plasmodium protein	10	0.28	174	9e-71	275	506	0.35
3021_g	1173	1	1167	Q8II84	409	1	408	+1	Conserved Plasmodium protein	7	1.04	147	1e-59	235	425	0.35
3022_g	819	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
3023_g	1724	318	1721	Q8ILF9	442	1	442	+3	Putative uncharacterized protein	6	0.69	218	2e-127	462	304	0.72
3024_g	2511	10	2457	Q8ILF8	876	2	798	+1	Exodeoxyribonuclease III, putative	30	0.41	169	6e-73	281	357	0.48
3025_g	1131	1	1128	B3LAP0	376	1	376	+1	Actin II, putative	30	1.00	354	0	733	376	0.95
3026_g	1437	16	1386	B3LAN9	447	7	438	+1	Deoxyhypusine synthase, putative	30	1.02	312	1e-146	525	457	0.69
3027_g	3192	1	3006	Q7RPB2	1034	2	976	+1	ATPase, AAA family, putative	30	0.35	242	6e-116	424	362	0.67
3028_g	1095	1	1092	Q7RPB1	411	48	411	+1	Glycylpeptide N-tetradecanoyltransferase 	30	0.89	245	2e-148	530	364	0.68
3029_g	1063	11	1060	A5K336	510	161	510	+2	Putative uncharacterized protein	18	0.69	261	9e-140	501	350	0.75
3030_g	5034	1	5010	B3L935	1514	1	1507	+1	Histone deactylase, putative	30	0.49	369	0	685	735	0.51
3031_g	720	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
3032_g	288	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
3033_g	2160	1	2157	O96243	722	1	722	+1	Vacuolar protein-sorting protein VPS45, 	30	0.51	248	1e-137	496	365	0.68
3034_g	786	40	561	Q4XAJ9	205	8	182	+1	Putative uncharacterized protein (Fragment) 	6	0.85	68	1e-23	115	175	0.39
3035_g	1296	253	564	Q4XMT0	307	185	297	+1	Putative uncharacterized protein (Fragment) 	3	0.37	43	2e-09	69	114	0.38
3036_g	2793	1	1080	O96244	1643	902	1246	+1	Conserved Plasmodium protein	5	0.23	119	2e-37	163	370	0.33
3037_g	1041	454	807	C5HEU9	322	125	242	+1	Apical merozoite protein	23	0.37	62	4e-14	84	118	0.53
3038_g	990	4	468	Q8WT07	280	3	157	+1	Ran-binding protein	30	0.55	132	3e-74	284	155	0.86
3039_g	1215	715	1116	B3L1M1	565	244	377	+1	Putative uncharacterized protein	4	0.24	63	2e-26	125	134	0.48
3040_g	423	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
3041_g	630	58	600	B3LD04	208	28	208	+1	Putative uncharacterized protein	12	0.87	87	3e-37	159	181	0.49
3042_g	678	55	675	Q7PDK6	1047	846	1047	+1	ERYTHROCYTE MEMBRANE PROTEIN PFEMP3	10	0.20	113	3e-44	183	209	0.55
3043_g	6658	5341	6309	Q8I531	2577	2054	2399	+1	Transcription factor with AP2 domain(S), 	19	0.14	203	4e-97	363	359	0.57
3044_g	321	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
3045_g	183	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
3046_g	2997	661	2979	B3L8U5	915	53	913	+1	Putative uncharacterized protein	30	0.30	156	3e-89	336	270	0.58
3047_g	1656	781	1650	C0H5E6	500	246	492	+1	Putative uncharacterized protein	6	0.58	151	3e-44	185	290	0.53
3048_g	78	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
3049_g	3519	292	3516	Q8IKD0	1095	70	1095	+1	Reticulocyte binding protein 2 homolog 	14	1.03	506	0	846	1124	0.46
3050_g	2436	1384	1767	B9PNI8	1028	231	359	+1	Protein kinase, putative	30	0.13	53	1e-21	111	129	0.42
3051_g	4740	184	4590	Q8I4R5	2215	671	2054	+1	Rhoptry neck protein 3, putative	10	0.44	328	1e-162	580	980	0.34
3052_g	942	151	927	Q8I4R5	2215	317	575	+1	Rhoptry neck protein 3, putative	6	0.12	92	4e-42	177	259	0.36
3053_g	3261	1	2193	Q8I466	850	1	595	+1	Protein kinase, putative	30	0.36	180	3e-97	362	305	0.60
3054_g	1416	1	1407	Q8I465	801	327	800	+1	Unconventional myosin pfm-b	30	0.59	305	4e-172	610	474	0.65
3055_g	303	1	273	Q9U3U9	801	218	308	+1	Unconventional myosin PfM-B	30	0.11	66	1e-31	140	91	0.73
3056_g	162	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
3057_g	1065	304	1059	Q8IJZ0	267	4	266	+1	Conserved Plasmodium protein	11	0.99	115	9e-55	219	263	0.44
3058_g	3276	337	3240	A5K767	1014	1	872	+1	Putative uncharacterized protein	9	0.30	148	5e-83	315	300	0.50
3059_g	363	130	354	A5K4S0	95	19	93	+1	Putative uncharacterized protein	6	0.79	47	1e-21	107	75	0.63
3060_g	6549	3865	6546	Q8IIA4	1013	139	1009	+1	Threonine--tRNA ligase	30	0.93	566	0	1084	941	0.61
3061_g	2175	2023	2174	Q8IAM1	2577	2509	2567	+3	Transcription factor with AP2 domain(S), 	5	0.01	31	5e-12	68	34	0.92
3062_g	5877	1786	3066	Q86M87	2107	237	632	+1	ComB	30	0.20	94	1e-15	92	431	0.22
3063_g	1245	88	390	Q8I362	1012	298	424	+1	Putative uncharacterized protein	1	0.10	36	1e-06	60	98	0.37
3064_g	198	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
3065_g	651	118	648	Q7RS97	210	33	209	+1	Ribosomal protein L27, putative	30	0.85	102	4e-49	199	178	0.58
3066_g	180	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
3067_g	2013	352	2004	Q4YTL8	584	64	583	+1	Putative uncharacterized protein	15	0.97	170	2e-62	246	567	0.30
3068_g	1896	1	1893	Q8IJ66	631	1	631	+1	Flavoprotein subunit of succinate dehydrogenase 	30	1.00	536	0	1056	631	0.85
3069_g	6156	122	6130	Q7RDE6	3569	791	2761	+2	Putative uncharacterized protein PY05476 	13	0.18	264	7e-126	458	629	0.42
3070_g	1954	11	1951	A5K3X0	6833	5811	6491	+2	Putative uncharacterized protein	5	0.10	281	2e-138	498	686	0.41
3071_g	1077	1	1023	Q8IL30	7231	6882	7213	+1	Putative uncharacterized protein	29	0.05	184	5e-106	389	341	0.54
3072_g	4215	1	3486	Q8IET9	2743	1588	2620	+1	Putative uncharacterized protein	30	0.43	474	0	779	1182	0.41
3073_g	5454	292	5394	Q8IET9	2743	299	1572	+1	Putative uncharacterized protein	9	0.24	176	3e-65	257	668	0.27
3074_g	3633	1	3408	Q8IDI7	1550	1	1205	+1	Putative uncharacterized protein	8	0.83	518	0	895	1283	0.41
3075_g	828	1	822	Q8IDI7	1550	1275	1549	+1	Putative uncharacterized protein	6	0.18	168	1e-91	341	275	0.62
3076_g	1887	1	438	Q8IDI6	362	1	146	+1	Putative uncharacterized protein	30	0.40	86	7e-47	194	146	0.59
3077_g	3729	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
3078_g	717	1	714	B3L2J1	339	99	339	+1	Putative uncharacterized protein	19	0.71	140	7e-74	281	241	0.59
3079_g	840	4	837	Q8I2Y1	324	53	324	+1	Putative uncharacterized protein	19	0.86	146	3e-79	300	278	0.53
3080_g	4554	310	1251	A5JZ80	1420	32	357	+1	Putative uncharacterized protein	30	0.23	191	4e-101	376	326	0.59
3081_g	1076	786	1070	B3LD80	1760	1635	1759	+3	Putative uncharacterized protein	2	0.07	47	3e-09	68	127	0.38
3082_g	3864	1	3255	Q8I4Z1	1846	2	1142	+1	Conserved protein	30	0.62	782	0	1498	1148	0.69
3083_g	2868	196	2784	Q4Y1Q4	862	30	783	+1	Glucose inhibited division protein A homologue, 	30	0.79	390	0	717	685	0.57
3084_g	3969	79	3249	Q8IID4	5251	10	890	+1	Dynein heavy chain-like protein PF11_0240 	30	0.08	236	2e-124	453	442	0.54
3085_g	1868	132	1730	Q8IID4	5251	1598	2134	+3	Dynein heavy chain-like protein PF11_0240 	30	0.10	367	0	708	538	0.69
3086_g	4677	1	4674	Q7RTB6	5174	2271	3824	+1	Dynein beta chain, ciliary	30	0.27	954	0	1750	1415	0.68
3087_g	113	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
3088_g	1287	1	1266	Q7RJJ3	434	1	423	+1	Putative uncharacterized protein PY03267 	30	0.97	305	4e-175	619	423	0.73
3089_g	2466	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
3090_g	864	1	852	Q8IJ74	288	1	285	+1	Haloacid dehalogenase-like hydrolase, 	30	0.99	121	8e-69	265	285	0.43
3091_g	2025	7	1929	Q8IJ73	709	5	707	+1	WD-repeat protein, putative	30	1.00	325	8e-161	573	710	0.46
3092_g	2793	1	2691	Q9GNU7	915	1	894	+1	Myb2 protein	30	1.03	469	0	721	943	0.50
3093_g	2979	1510	2967	D7NSW5	739	277	737	+1	Rhoptry-associated protein 1 (Fragment) 	30	0.67	123	8e-35	155	493	0.25
3094_g	2610	1411	2586	Q4Y9Z7	451	56	444	+1	Rhoptry-associated protein 1, putative 	30	0.90	102	8e-28	131	404	0.26
3095_g	9576	13	9573	A5JZK0	3027	4	3027	+1	Putative uncharacterized protein	11	0.28	389	2e-155	557	847	0.46
3096_g	588	175	567	A5JZ48	330	126	256	+1	Putative uncharacterized protein	18	0.40	71	2e-31	140	131	0.55
3097_g	3345	127	1893	B3LBL6	569	111	458	+1	Putative uncharacterized protein	10	0.43	75	3e-25	123	247	0.31
3098_g	1347	568	1149	Q7RS07	470	93	283	+1	Putative uncharacterized protein PY00560 	5	0.41	97	3e-47	195	194	0.50
3099_g	1640	300	1607	Q4Y0A2	565	178	562	+3	Putative uncharacterized protein (Fragment) 	6	0.82	137	2e-43	182	461	0.30
3100_g	4635	1	4632	C6KT35	1392	1	1392	+1	Acyl-CoA synthetase, PfACS12	30	0.98	573	0	872	1364	0.43
3101_g	36	null	null	null	null	null	null	null	null	0	null	null	null	null	null	null
